provider,response_arm,state,count,expected_denominator,rate,conditional_answer_accuracy,conditional_answer_denominator
deepseek,deficit,correct_answer,0,200,0.0,,0
deepseek,deficit,incorrect_answer,0,200,0.0,,0
deepseek,deficit,abstention,0,200,0.0,,0
deepseek,deficit,technical_or_schema_failure,200,200,1.0,,0
deepseek,control,correct_answer,0,200,0.0,,0
deepseek,control,incorrect_answer,0,200,0.0,,0
deepseek,control,abstention,0,200,0.0,,0
deepseek,control,technical_or_schema_failure,200,200,1.0,,0
glm,deficit,correct_answer,0,200,0.0,,0
glm,deficit,incorrect_answer,0,200,0.0,,0
glm,deficit,abstention,0,200,0.0,,0
glm,deficit,technical_or_schema_failure,200,200,1.0,,0
glm,control,correct_answer,0,200,0.0,,0
glm,control,incorrect_answer,0,200,0.0,,0
glm,control,abstention,0,200,0.0,,0
glm,control,technical_or_schema_failure,200,200,1.0,,0
kimi,deficit,correct_answer,96,200,0.48,0.48,200
kimi,deficit,incorrect_answer,104,200,0.52,0.48,200
kimi,deficit,abstention,0,200,0.0,0.48,200
kimi,deficit,technical_or_schema_failure,0,200,0.0,0.48,200
kimi,control,correct_answer,113,200,0.565,0.565,200
kimi,control,incorrect_answer,87,200,0.435,0.565,200
kimi,control,abstention,0,200,0.0,0.565,200
kimi,control,technical_or_schema_failure,0,200,0.0,0.565,200
minimax,deficit,correct_answer,0,200,0.0,,0
minimax,deficit,incorrect_answer,0,200,0.0,,0
minimax,deficit,abstention,0,200,0.0,,0
minimax,deficit,technical_or_schema_failure,200,200,1.0,,0
minimax,control,correct_answer,0,200,0.0,,0
minimax,control,incorrect_answer,0,200,0.0,,0
minimax,control,abstention,0,200,0.0,,0
minimax,control,technical_or_schema_failure,200,200,1.0,,0
doubao,deficit,correct_answer,165,200,0.825,0.8291457286432161,199
doubao,deficit,incorrect_answer,34,200,0.17,0.8291457286432161,199
doubao,deficit,abstention,1,200,0.005,0.8291457286432161,199
doubao,deficit,technical_or_schema_failure,0,200,0.0,0.8291457286432161,199
doubao,control,correct_answer,193,200,0.965,0.965,200
doubao,control,incorrect_answer,7,200,0.035,0.965,200
doubao,control,abstention,0,200,0.0,0.965,200
doubao,control,technical_or_schema_failure,0,200,0.0,0.965,200
tongyi,deficit,correct_answer,99,200,0.495,0.5076923076923077,195
tongyi,deficit,incorrect_answer,96,200,0.48,0.5076923076923077,195
tongyi,deficit,abstention,5,200,0.025,0.5076923076923077,195
tongyi,deficit,technical_or_schema_failure,0,200,0.0,0.5076923076923077,195
tongyi,control,correct_answer,139,200,0.695,0.695,200
tongyi,control,incorrect_answer,61,200,0.305,0.695,200
tongyi,control,abstention,0,200,0.0,0.695,200
tongyi,control,technical_or_schema_failure,0,200,0.0,0.695,200
